team1,team2,city,date,toss_winner,first_batting,team1_player1,team1_player2,team1_player3,team1_player4,team1_player5,team1_player6,team1_player7,team1_player8,team1_player9,team1_player10,team1_player11,team2_player1,team2_player2,team2_player3,team2_player4,team2_player5,team2_player6,team2_player7,team2_player8,team2_player9,team2_player10,team2_player11,match_winner
India,New Zealand,Sharjah Cricket Association Stadium,20 April 1998,1,0,SR Tendulkar,SC Ganguly,M Azharuddin,A Jadeja,VVS Laxman,NR Mongia,HH Kanitkar,A Kumble,Harvinder Singh,BKV Prasad,Harbhajan Singh,MJ Horne,NJ Astle,SP Fleming,CD McMillan,CL Cairns,AC Parore,CZ Harris,MW Priest,SB Doull,PJ Wiseman,SB OConnor,1
Australia,New Zealand,Sharjah Cricket Association Stadium,21 April 1998,1,1,LG Howell,NJ Astle,SP Fleming,CD McMillan,CL Cairns,AC Parore,CZ Harris,DJ Nash,SB Doull,MW Priest,PJ Wiseman,DS Lehmann,DR Martyn,SR Waugh,TM Moody,MG Bevan,ME Waugh,AC Gilchrist,IJ Harvey,SK Warne,GR Robertson,AC Dale,0
Australia,India,Sharjah Cricket Association Stadium,22 April 1998,1,0,AC Gilchrist,ME Waugh,RT Ponting,DR Martyn,MG Bevan,SR Waugh,DS Lehmann,TM Moody,SK Warne,MS Kasprowicz,DW Fleming,SC Ganguly,SR Tendulkar,NR Mongia,M Azharuddin,A Jadeja,VVS Laxman,HH Kanitkar,A Kumble,Harvinder Singh,BKV Prasad,Harbhajan Singh,0
South Africa,Pakistan,Cape Town,23 April 1998,1,1,Saeed Anwar,Mohammad Wasim,Ijaz Ahmed,InzamamulHaq,Moin Khan,Wasim Akram,Azhar Mahmood,Rashid Latif,Abdul Razzaq,Waqar Younis,Mushtaq Ahmed,MJR Rindel,G Kirsten,JH Kallis,DJ Cullinan,WJ Cronje,JN Rhodes,SM Pollock,MV Boucher,L Klusener,AA Donald,R Telemachus,0
Australia,India,Sharjah Cricket Association Stadium,24 April 1998,1,0,ME Waugh,AC Gilchrist,RT Ponting,TM Moody,MG Bevan,SR Waugh,DS Lehmann,DR Martyn,SK Warne,MS Kasprowicz,DW Fleming,SC Ganguly,SR Tendulkar,NR Mongia,M Azharuddin,A Jadeja,HH Kanitkar,VVS Laxman,AB Agarkar,A Kumble,BKV Prasad,RL Sanghvi,1
India,Bangladesh,Mohali,14 May 1998,1,1,Athar Ali Khan,Sanwar Hossain,Minhajul Abedin,Aminul Islam,Mehrab Hossain,Naimur Rahman,Khaled Mahmud,Mohammad Rafique,Hasibul Hossain,Khaled Mashud,Morshed Ali Khan,SC Ganguly,GK Khoda,M Azharuddin,A Jadeja,R Dravid,RR Singh,HH Kanitkar,MSK Prasad,AB Agarkar,DS Mohanty,RL Sanghvi,0
Bangladesh,Kenya,Hyderabad,17 May 1998,1,1,DN Chudasama,KO Otieno,SO Tikolo,MO Odumbe,HS Modi,RD Shah,TM Odoyo,AO Suji,AY Karim,MA Suji,M Sheikh,Athar Ali Khan,Mohammad Rafique,Minhajul Abedin,Aminul Islam,Akram Khan,Naimur Rahman,Khaled Mahmud,Enamul Haque,Hasibul Hossain,Khaled Mashud,Morshed Ali Khan,0
India,Kenya,Bangalore,20 May 1998,1,1,DN Chudasama,KO Otieno,SO Tikolo,MO Odumbe,HS Modi,RD Shah,TM Odoyo,AO Suji,AY Karim,MA Suji,M Sheikh,GK Khoda,SC Ganguly,R Dravid,A Jadeja,HH Kanitkar,VVS Laxman,RR Singh,MSK Prasad,AB Agarkar,RL Sanghvi,DS Mohanty,0
England,South Africa,London,21 May 1998,1,0,NV Knight,AJ Stewart,CJ Adams,N Hussain,DL Maddy,AJ Hollioake,MA Ealham,CC Lewis,AF Giles,RDB Croft,D Gough,G Kirsten,GFJ Liebenberg,JH Kallis,DJ Cullinan,WJ Cronje,JN Rhodes,SM Pollock,L Klusener,MV Boucher,PL Symcox,AA Donald,1
Bangladesh,Kenya,Chepauk,23 May 1998,1,1,KO Otieno,RD Shah,SO Tikolo,MO Odumbe,HS Modi,TM Odoyo,AV Vadher,LN Onyango,AY Karim,MA Suji,M Sheikh,Athar Ali Khan,Mohammad Rafique,Minhajul Abedin,Aminul Islam,Akram Khan,Naimur Rahman,Khaled Mahmud,Khaled Mashud,Enamul Haque,Hasibul Hossain,Morshed Ali Khan,1
England,South Africa,Manchester,23 May 1998,1,1,GFJ Liebenberg,G Kirsten,JH Kallis,DJ Cullinan,WJ Cronje,JN Rhodes,SM Pollock,L Klusener,MV Boucher,PL Symcox,AA Donald,NV Knight,AD Brown,AJ Stewart,N Hussain,CJ Adams,AJ Hollioake,MA Ealham,MV Fleming,CC Lewis,RDB Croft,D Gough,1
England,South Africa,Leeds,24 May 1998,1,1,G Kirsten,GFJ Liebenberg,JH Kallis,DJ Cullinan,WJ Cronje,JN Rhodes,SM Pollock,L Klusener,MV Boucher,PL Symcox,AA Donald,NV Knight,AD Brown,MV Fleming,AJ Stewart,N Hussain,DL Maddy,AJ Hollioake,MA Ealham,RDB Croft,D Gough,ARC Fraser,0
India,Bangladesh,Mumbai,25 May 1998,1,1,Athar Ali Khan,Mohammad Rafique,Minhajul Abedin,Aminul Islam,Akram Khan,Naimur Rahman,Khaled Mahmud,Khaled Mashud,Enamul Haque,Hasibul Hossain,Anisur Rahman,NS Sidhu,SR Tendulkar,R Dravid,A Jadeja,VVS Laxman,SS Karim,RR Singh,A Kumble,BKV Prasad,PL Mhambrey,Harbhajan Singh,0
India,Kenya,Gwalior,28 May 1998,1,1,RD Shah,KO Otieno,SO Tikolo,MO Odumbe,HS Modi,AV Vadher,TM Odoyo,MA Suji,JO Angara,AY Karim,M Sheikh,NS Sidhu,SR Tendulkar,M Azharuddin,R Dravid,RR Singh,JV Paranjpe,NR Mongia,N Chopra,A Kumble,BKV Prasad,NM Kulkarni,1
India,Kenya,Calcutta,31 May 1998,1,1,DN Chudasama,RD Shah,SO Tikolo,MO Odumbe,HS Modi,KO Otieno,TM Odoyo,AY Karim,MA Suji,M Sheikh,JO Angara,SC Ganguly,SR Tendulkar,A Jadeja,M Azharuddin,HH Kanitkar,RR Singh,NR Mongia,A Kumble,AB Agarkar,BKV Prasad,RL Sanghvi,0
Sri Lanka,India,Colombo,19 June 1998,1,0,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,RS Mahanama,DPMD Jayawardene,HDPK Dharmasena,GP Wickramasinghe,M Muralitharan,ASA Perera,SC Ganguly,SR Tendulkar,M Azharuddin,A Jadeja,RR Singh,HH Kanitkar,NR Mongia,A Kumble,AB Agarkar,BKV Prasad,Harbhajan Singh,1
Sri Lanka,New Zealand,Colombo,21 June 1998,1,1,BA Young,NJ Astle,SP Fleming,MJ Horne,CD McMillan,CL Cairns,AC Parore,CZ Harris,DJ Nash,DL Vettori,SB OConnor,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,UDU Chandana,RS Mahanama,HDPK Dharmasena,GP Wickramasinghe,MRCN Bandaratilleke,M Muralitharan,0
Sri Lanka,India,Colombo,1 July 1998,1,0,ST Jayasuriya,DA Gunawardene,MS Atapattu,PA de Silva,A Ranatunga,RS Kaluwitharana,UDU Chandana,HDPK Dharmasena,GP Wickramasinghe,M Muralitharan,ASA Perera,SC Ganguly,SR Tendulkar,NR Mongia,M Azharuddin,A Jadeja,HH Kanitkar,RR Singh,AB Agarkar,A Kumble,BKV Prasad,Harbhajan Singh,0
Sri Lanka,New Zealand,Colombo,5 July 1998,1,0,ST Jayasuriya,RS Kaluwitharana,PA de Silva,A Ranatunga,UDU Chandana,MS Atapattu,RS Mahanama,HDPK Dharmasena,MRCN Bandaratilleke,M Muralitharan,ASA Perera,BA Young,NJ Astle,SP Fleming,CD McMillan,MJ Horne,CL Cairns,AC Parore,CZ Harris,DJ Nash,DL Vettori,PJ Wiseman,0
Sri Lanka,India,Colombo,7 July 1998,1,1,SC Ganguly,SR Tendulkar,M Azharuddin,A Jadeja,RR Singh,AB Agarkar,HH Kanitkar,NR Mongia,A Kumble,BKV Prasad,Harbhajan Singh,ST Jayasuriya,RS Kaluwitharana,PA de Silva,MS Atapattu,A Ranatunga,RS Mahanama,UDU Chandana,HDPK Dharmasena,GP Wickramasinghe,MRCN Bandaratilleke,M Muralitharan,1
South Africa,Sri Lanka,Nottingham,14 August 1998,1,1,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,DPMD Jayawardene,UC Hathurusingha,GP Wickramasinghe,HDPK Dharmasena,ASA Perera,M Muralitharan,G Kirsten,MJR Rindel,JH Kallis,DJ Cullinan,PL Symcox,WJ Cronje,JN Rhodes,SM Pollock,MV Boucher,S Elworthy,AA Donald,1
England,Sri Lanka,London,16 August 1998,1,0,NV Knight,AD Brown,AJ Stewart,GA Hick,N Hussain,AJ Hollioake,RDB Croft,ID Austin,PJ Martin,D Gough,AD Mullally,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,RP Arnold,A Ranatunga,UC Hathurusingha,HDPK Dharmasena,ASA Perera,GP Wickramasinghe,M Muralitharan,0
England,South Africa,Birmingham,18 August 1998,1,1,G Kirsten,MJR Rindel,DJ Cullinan,JN Rhodes,WJ Cronje,JH Kallis,SM Pollock,PL Symcox,MV Boucher,M Hayward,AA Donald,NV Knight,AD Brown,AJ Stewart,GA Hick,N Hussain,AJ Hollioake,RDB Croft,ID Austin,D Gough,PJ Martin,AD Mullally,1
England,Sri Lanka,London,20 August 1998,1,0,NV Knight,MA Atherton,AJ Stewart,GA Hick,AD Brown,N Hussain,RDB Croft,ID Austin,D Gough,PJ Martin,AD Mullally,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,UDU Chandana,HP Tillakaratne,HDPK Dharmasena,GP Wickramasinghe,ASA Perera,M Muralitharan,1
India,Pakistan,Skating and Curling Club,12 September 1998,1,1,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Saleem Malik,Abdul Razzaq,Ijaz Ahmed,Moin Khan,Azhar Mahmood,Aaqib Javed,Mohammad Zahid,SC Ganguly,NS Sidhu,M Azharuddin,R Dravid,HH Kanitkar,JV Paranjpe,NR Mongia,SB Joshi,AB Agarkar,J Srinath,BKV Prasad,0
India,Pakistan,Skating and Curling Club,13 September 1998,1,1,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Saleem Malik,Ijaz Ahmed,Moin Khan,Azhar Mahmood,Abdul Razzaq,Mohammad Zahid,Aaqib Javed,NS Sidhu,NR Mongia,M Azharuddin,R Dravid,HH Kanitkar,JV Paranjpe,SS Raul,AB Agarkar,SB Joshi,J Srinath,BKV Prasad,1
India,Pakistan,Skating and Curling Club,16 September 1998,1,1,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Saleem Malik,Ijaz Ahmed,Moin Khan,Azhar Mahmood,Saqlain Mushtaq,Aaqib Javed,Mohammad Zahid,SC Ganguly,NS Sidhu,NR Mongia,M Azharuddin,R Dravid,HH Kanitkar,JV Paranjpe,AB Agarkar,SB Joshi,J Srinath,BKV Prasad,1
India,Pakistan,Skating and Curling Club,19 September 1998,1,1,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Saleem Malik,Ijaz Ahmed,Azhar Mahmood,Moin Khan,Saqlain Mushtaq,Aaqib Javed,Mohammad Zahid,SC Ganguly,NS Sidhu,NR Mongia,M Azharuddin,A Jadeja,R Dravid,HH Kanitkar,AB Agarkar,SB Joshi,J Srinath,BKV Prasad,1
India,Pakistan,Skating and Curling Club,20 September 1998,1,0,SC Ganguly,SR Tendulkar,NS Sidhu,M Azharuddin,A Jadeja,NR Mongia,J Srinath,SS Raul,AB Agarkar,SB Joshi,BKV Prasad,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Saleem Malik,Ijaz Ahmed,Moin Khan,Azhar Mahmood,Saqlain Mushtaq,Aaqib Javed,Mohammad Zahid,1
Zimbabwe,India,Bulawayo,26 September 1998,1,0,ADR Campbell,TN Madondo,MW Goodwin,A Flower,CN Evans,CB Wishart,HH Streak,PA Strang,GB Brent,AR Whittall,M Mbangwa,SC Ganguly,SR Tendulkar,R Dravid,A Jadeja,M Azharuddin,RR Singh,NR Mongia,J Srinath,AB Agarkar,A Kumble,Harbhajan Singh,1
Zimbabwe,India,Bulawayo,27 September 1998,1,0,ADR Campbell,TN Madondo,MW Goodwin,A Flower,CB Wishart,CN Evans,HH Streak,PA Strang,AR Whittall,JA Rennie,ML Nkala,SR Tendulkar,SC Ganguly,M Azharuddin,A Jadeja,R Dravid,RR Singh,NR Mongia,J Srinath,AB Agarkar,A Kumble,Harbhajan Singh,1
Zimbabwe,India,Harare Sports Club,30 September 1998,1,0,ADR Campbell,CB Wishart,MW Goodwin,A Flower,CN Evans,GJ Rennie,HH Streak,EA Brandes,AR Whittall,AG Huckle,M Mbangwa,SC Ganguly,SR Tendulkar,M Azharuddin,A Jadeja,R Dravid,RR Singh,NR Mongia,AB Agarkar,RL Sanghvi,DS Mohanty,Harbhajan Singh,0
New Zealand,Zimbabwe,Dhaka,24 October 1998,1,1,ADR Campbell,GW Flower,NC Johnson,MW Goodwin,A Flower,CN Evans,CB Wishart,HH Streak,PA Strang,AR Whittall,HK Olonga,MD Bell,NJ Astle,SP Fleming,CD McMillan,AC Parore,CZ Harris,AR Tait,MD Bailey,DL Vettori,SB Doull,GI Allott,0
England,South Africa,Dhaka,25 October 1998,1,0,NV Knight,AD Brown,MA Ealham,GA Hick,NH Fairbrother,GD Lloyd,AJ Hollioake,RC Russell,AF Giles,ID Austin,PJ Martin,DJ Cullinan,MJR Rindel,JH Kallis,WJ Cronje,JN Rhodes,DM Benkenstein,DN Crookes,PL Symcox,MV Boucher,N Boje,AC Dawson,1
New Zealand,Sri Lanka,Dhaka,26 October 1998,1,0,MD Bell,NJ Astle,SP Fleming,CD McMillan,AC Parore,CZ Harris,AR Tait,DL Vettori,SB Doull,PJ Wiseman,GI Allott,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,RS Mahanama,UDU Chandana,HDPK Dharmasena,WPUJC Vaas,M Muralitharan,DNT Zoysa,1
Australia,India,Dhaka,28 October 1998,1,1,SC Ganguly,SR Tendulkar,M Azharuddin,R Dravid,A Jadeja,RR Singh,AB Agarkar,SB Joshi,J Srinath,NR Mongia,A Kumble,ME Waugh,AC Gilchrist,RT Ponting,BP Julian,DS Lehmann,SR Waugh,MG Bevan,DR Martyn,BE Young,MS Kasprowicz,DW Fleming,1
Pakistan,West Indies,Dhaka,29 October 1998,1,1,PA Wallace,SC Williams,S Chanderpaul,BC Lara,CL Hooper,KLT Arthurton,PV Simmons,RD Jacobs,RN Lewis,NAM McLean,M Dillon,Shahid Afridi,Saleem Elahi,Azhar Mahmood,Aamer Sohail,Ijaz Ahmed,Akhtar Sarfraz,Saleem Malik,Wasim Akram,Moin Khan,Saqlain Mushtaq,Arshad Khan,1
South Africa,Sri Lanka,Dhaka,30 October 1998,1,0,MJR Rindel,DJ Cullinan,N Boje,MV Boucher,JH Kallis,WJ Cronje,JN Rhodes,PL Symcox,DM Benkenstein,DN Crookes,S Elworthy,ST Jayasuriya,RS Kaluwitharana,WPUJC Vaas,PA de Silva,MS Atapattu,A Ranatunga,RS Mahanama,UDU Chandana,HDPK Dharmasena,DNT Zoysa,M Muralitharan,0
India,West Indies,Dhaka,31 October 1998,1,0,SC Ganguly,SR Tendulkar,M Azharuddin,R Dravid,A Jadeja,RR Singh,NR Mongia,J Srinath,AB Agarkar,A Kumble,SB Joshi,PA Wallace,SC Williams,S Chanderpaul,BC Lara,CL Hooper,KLT Arthurton,PV Simmons,RD Jacobs,RN Lewis,RD King,M Dillon,1
South Africa,West Indies,Dhaka,1 November 1998,1,1,PA Wallace,CB Lambert,S Chanderpaul,BC Lara,CL Hooper,KLT Arthurton,PV Simmons,RD Jacobs,RN Lewis,RD King,M Dillon,DJ Cullinan,MJR Rindel,MV Boucher,JH Kallis,WJ Cronje,JN Rhodes,DM Benkenstein,DN Crookes,N Boje,PL Symcox,S Elworthy,0
Pakistan,Australia,Karachi,6 November 1998,1,1,AC Gilchrist,ME Waugh,RT Ponting,DS Lehmann,SR Waugh,MG Bevan,DR Martyn,BP Julian,BE Young,DW Fleming,GD McGrath,Saleem Elahi,Shahid Afridi,Aamer Sohail,Ijaz Ahmed,Yousuf Youhana,Azam Khan,Moin Khan,Wasim Akram,Shoaib Akhtar,Arshad Khan,Kabir Khan,1
India,Sri Lanka,Sharjah Cricket Association Stadium,6 November 1998,1,1,ST Jayasuriya,DA Gunawardene,MS Atapattu,PA de Silva,A Ranatunga,RS Kaluwitharana,RS Mahanama,WPUJC Vaas,HDPK Dharmasena,TT Samaraweera,DNT Zoysa,SC Ganguly,SR Tendulkar,NR Mongia,M Azharuddin,J Srinath,A Jadeja,RR Singh,N Chopra,AB Agarkar,SB Joshi,A Kumble,0
Sri Lanka,Zimbabwe,Sharjah Cricket Association Stadium,7 November 1998,1,0,ST Jayasuriya,DA Gunawardene,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,RS Mahanama,TT Samaraweera,WPUJC Vaas,HDPK Dharmasena,DNT Zoysa,ADR Campbell,GW Flower,NC Johnson,MW Goodwin,A Flower,CB Wishart,CN Evans,HH Streak,PA Strang,EA Brandes,AR Whittall,1
Pakistan,Australia,Peshawar,8 November 1998,1,0,Aamer Sohail,Asif Mahmood,Ijaz Ahmed,Saleem Malik,Yousuf Youhana,Moin Khan,Azhar Mahmood,Wasim Akram,Shoaib Akhtar,Saqlain Mushtaq,Arshad Khan,ME Waugh,AC Gilchrist,RT Ponting,SR Waugh,DR Martyn,MG Bevan,DS Lehmann,BP Julian,BE Young,DW Fleming,GD McGrath,1
India,Zimbabwe,Sharjah Cricket Association Stadium,8 November 1998,1,1,ADR Campbell,GW Flower,NC Johnson,MW Goodwin,A Flower,CN Evans,CB Wishart,HH Streak,PA Strang,EA Brandes,AR Whittall,SC Ganguly,SR Tendulkar,NR Mongia,M Azharuddin,A Jadeja,RR Singh,SB Joshi,N Chopra,A Kumble,AB Agarkar,J Srinath,0
India,Sri Lanka,Sharjah Cricket Association Stadium,9 November 1998,1,0,SR Tendulkar,SC Ganguly,NR Mongia,A Jadeja,RR Singh,M Azharuddin,N Chopra,AB Agarkar,J Srinath,SB Joshi,A Kumble,ST Jayasuriya,DA Gunawardene,MS Atapattu,PA de Silva,RS Mahanama,A Ranatunga,RS Kaluwitharana,TT Samaraweera,HDPK Dharmasena,WPUJC Vaas,GP Wickramasinghe,0
Pakistan,Australia,Lahore,10 November 1998,1,0,Aamer Sohail,Asif Mahmood,Ijaz Ahmed,Saleem Malik,Yousuf Youhana,Shahid Afridi,Wasim Akram,Moin Khan,Azhar Mahmood,Shoaib Akhtar,Saqlain Mushtaq,AC Gilchrist,ME Waugh,RT Ponting,DS Lehmann,SR Waugh,MG Bevan,A Symonds,BP Julian,BE Young,DW Fleming,GD McGrath,1
Sri Lanka,Zimbabwe,Sharjah Cricket Association Stadium,10 November 1998,1,1,ADR Campbell,GW Flower,NC Johnson,MW Goodwin,A Flower,EA Brandes,CB Wishart,GJ Rennie,HH Streak,PA Strang,AR Whittall,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,PA de Silva,A Ranatunga,RS Mahanama,HP Tillakaratne,HDPK Dharmasena,GP Wickramasinghe,WPUJC Vaas,TT Samaraweera,1
India,Zimbabwe,Sharjah Cricket Association Stadium,11 November 1998,1,1,CB Wishart,GW Flower,NC Johnson,MW Goodwin,A Flower,ADR Campbell,GJ Rennie,AR Whittall,AG Huckle,M Mbangwa,HK Olonga,SC Ganguly,SR Tendulkar,R Dravid,A Jadeja,VVS Laxman,RR Singh,NR Mongia,N Chopra,AB Agarkar,SB Joshi,BKV Prasad,1
India,Zimbabwe,Sharjah Cricket Association Stadium,13 November 1998,1,1,ADR Campbell,GW Flower,NC Johnson,MW Goodwin,A Flower,CB Wishart,HH Streak,PA Strang,EA Brandes,AR Whittall,HK Olonga,SC Ganguly,SR Tendulkar,M Azharuddin,A Jadeja,RR Singh,NR Mongia,AB Agarkar,N Chopra,SB Joshi,A Kumble,J Srinath,0
Pakistan,Zimbabwe,Gujranwala,20 November 1998,1,1,NC Johnson,GW Flower,MW Goodwin,CN Evans,A Flower,ADR Campbell,CB Wishart,HH Streak,PA Strang,EA Brandes,AR Whittall,Saeed Anwar,Aamer Sohail,Ijaz Ahmed,InzamamulHaq,Yousuf Youhana,Shahid Afridi,Moin Khan,Azhar Mahmood,Wasim Akram,Saqlain Mushtaq,Shoaib Akhtar,0
Pakistan,Zimbabwe,Sheikhupura Stadium,22 November 1998,1,0,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Yousuf Youhana,Hasan Raza,Moin Khan,Azhar Mahmood,Wasim Akram,Saqlain Mushtaq,Mohammad Akram,NC Johnson,GW Flower,MW Goodwin,CN Evans,A Flower,ADR Campbell,CB Wishart,PA Strang,HH Streak,EA Brandes,AR Whittall,1
Pakistan,Zimbabwe,Rawalpindi Cricket Stadium,24 November 1998,1,0,Saeed Anwar,Aamer Sohail,Ijaz Ahmed,InzamamulHaq,Moin Khan,Wasim Akram,Azhar Mahmood,Yousuf Youhana,Aaqib Javed,Saqlain Mushtaq,Waqar Younis,NC Johnson,GW Flower,MW Goodwin,A Flower,ADR Campbell,CB Wishart,GJ Rennie,HH Streak,PA Strang,EA Brandes,AR Whittall,0
Pakistan,Zimbabwe,Rawalpindi Cricket Stadium,24 November 1998,1,0,Saeed Anwar,Aamer Sohail,Ijaz Ahmed,InzamamulHaq,Moin Khan,Wasim Akram,Azhar Mahmood,Yousuf Youhana,Aaqib Javed,Saqlain Mushtaq,Waqar Younis,NC Johnson,GW Flower,MW Goodwin,A Flower,ADR Campbell,CB Wishart,GJ Rennie,HH Streak,PA Strang,EA Brandes,AR Whittall,0
Pakistan,Zimbabwe,Sheikhupura Stadium,22 November 1998,1,0,Saeed Anwar,Shahid Afridi,Aamer Sohail,InzamamulHaq,Yousuf Youhana,Hasan Raza,Moin Khan,Azhar Mahmood,Wasim Akram,Saqlain Mushtaq,Mohammad Akram,NC Johnson,GW Flower,MW Goodwin,CN Evans,A Flower,ADR Campbell,CB Wishart,PA Strang,HH Streak,EA Brandes,AR Whittall,1
Pakistan,Zimbabwe,Gujranwala,20 November 1998,1,1,NC Johnson,GW Flower,MW Goodwin,CN Evans,A Flower,ADR Campbell,CB Wishart,HH Streak,PA Strang,EA Brandes,AR Whittall,Saeed Anwar,Aamer Sohail,Ijaz Ahmed,InzamamulHaq,Yousuf Youhana,Shahid Afridi,Moin Khan,Azhar Mahmood,Wasim Akram,Saqlain Mushtaq,Shoaib Akhtar,0
New Zealand,India,Taupo,9 January 1999,1,1,SC Ganguly,SR Tendulkar,R Dravid,M Azharuddin,A Jadeja,RR Singh,HH Kanitkar,NR Mongia,N Chopra,J Srinath,BKV Prasad,RG Twose,MJ Horne,CD McMillan,CL Cairns,AC Parore,CZ Harris,DJ Nash,SP Fleming,DL Vettori,GR Larsen,SB Doull,0
Australia,England,Woolloongabba,10 January 1999,1,1,NV Knight,AJ Stewart,VJ Wells,GA Hick,NH Fairbrother,AJ Hollioake,MW Alleyne,MA Ealham,RDB Croft,D Gough,AD Mullally,ME Waugh,AC Gilchrist,RT Ponting,DR Martyn,GS Blewett,MG Bevan,BP Julian,SK Warne,DW Fleming,AC Dale,GD McGrath,1
England,Sri Lanka,Woolloongabba,11 January 1999,1,1,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,A Ranatunga,HP Tillakaratne,RS Mahanama,UDU Chandana,WPUJC Vaas,GP Wickramasinghe,M Muralitharan,DNT Zoysa,NV Knight,AJ Stewart,GA Hick,NH Fairbrother,AJ Hollioake,MW Alleyne,MA Ealham,RDB Croft,DW Headley,D Gough,AD Mullally,0
New Zealand,India,Napier,12 January 1999,1,0,MJ Horne,BA Young,CD McMillan,RG Twose,CL Cairns,AC Parore,DJ Nash,CZ Harris,DL Vettori,GR Larsen,GI Allott,SC Ganguly,SR Tendulkar,R Dravid,M Azharuddin,A Jadeja,RR Singh,NR Mongia,J Srinath,N Chopra,A Kumble,BKV Prasad,1
Australia,Sri Lanka,Sydney Cricket Ground,13 January 1999,1,1,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,HP Tillakaratne,A Ranatunga,DPMD Jayawardene,UDU Chandana,RS Mahanama,WPUJC Vaas,M Muralitharan,GP Wickramasinghe,AC Gilchrist,ME Waugh,RT Ponting,DR Martyn,GS Blewett,MG Bevan,BP Julian,SK Warne,DW Fleming,BE Young,GD McGrath,0
Australia,England,Melbourne Cricket Ground,15 January 1999,1,1,NV Knight,AJ Stewart,MA Ealham,N Hussain,GA Hick,NH Fairbrother,AJ Hollioake,RDB Croft,D Gough,DW Headley,AD Mullally,ME Waugh,AC Gilchrist,RT Ponting,DR Martyn,DS Lehmann,MG Bevan,BP Julian,SK Warne,DW Fleming,AC Dale,GD McGrath,0
New Zealand,India,Auckland,16 January 1999,1,0,MJ Horne,BA Young,CD McMillan,RG Twose,CL Cairns,AC Parore,DJ Nash,CZ Harris,DL Vettori,GR Larsen,SB Doull,SR Tendulkar,SC Ganguly,R Dravid,M Azharuddin,A Jadeja,RR Singh,NR Mongia,N Chopra,A Kumble,J Srinath,BKV Prasad,1
Australia,England,Sydney Cricket Ground,17 January 1999,1,1,NV Knight,AJ Stewart,GA Hick,N Hussain,NH Fairbrother,AJ Hollioake,MA Ealham,RDB Croft,D Gough,AF Giles,AD Mullally,AC Gilchrist,ME Waugh,RT Ponting,DS Lehmann,SR Waugh,MG Bevan,GS Blewett,SK Warne,DW Fleming,AC Dale,GD McGrath,1
New Zealand,India,Christchurch,19 January 1999,1,0,MJ Horne,BA Young,CD McMillan,RG Twose,CL Cairns,DJ Nash,CZ Harris,AC Parore,DL Vettori,GR Larsen,SB Doull,SC Ganguly,A Jadeja,R Dravid,M Azharuddin,RR Singh,J Srinath,HH Kanitkar,NR Mongia,N Chopra,A Kumble,BKV Prasad,0
England,Sri Lanka,Melbourne Cricket Ground,19 January 1999,1,1,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,HP Tillakaratne,DPMD Jayawardene,A Ranatunga,UDU Chandana,GP Wickramasinghe,WPUJC Vaas,M Muralitharan,DNT Zoysa,NV Knight,AJ Stewart,GA Hick,N Hussain,JP Crawley,AJ Hollioake,MA Ealham,D Gough,AD Mullally,RDB Croft,VJ Wells,0
Australia,Sri Lanka,Hobart,21 January 1999,1,0,ME Waugh,AC Gilchrist,GS Blewett,DS Lehmann,S Lee,SR Waugh,MG Bevan,BP Julian,SK Warne,AC Dale,GD McGrath,ST Jayasuriya,RS Kaluwitharana,MS Atapattu,A Ranatunga,UDU Chandana,HP Tillakaratne,DPMD Jayawardene,RS Mahanama,WPUJC Vaas,GP Wickramasinghe,M Muralitharan,1
South Africa,West Indies,Johannesburg,22 January 1999,1,1,PA Wallace,S Chanderpaul,NAM McLean,BC Lara,CL Hooper,KLT Arthurton,KF Semple,RD Jacobs,RD King,CEL Ambrose,NC McGarrell,G Kirsten,HH Gibbs,JH Kallis,DJ Cullinan,WJ Cronje,JN Rhodes,SM Pollock,L Klusener,MV Boucher,PL Symcox,S Elworthy,0
